单位id,单位名,种族值,种族,性别值,性别,属性值,属性,星级,单位名地址
3a5,不思議な雷蝶 不可思议的雷蝶,3,一般,3,无性别,5,电击,3,17e5b
3a6,不思議なドリュアス 不可思议的德律阿斯,6,精霊,3,无性别,5,电击,3,17e5c
3a7,歪宮の守護者 歪宫的守护者,d,創造,2,女,1,物理,4,17e5d
3a8,古代迷宮の守人 古代迷宫的守人,d,創造,3,无性别,1,物理,4,17e5e
3a9,彷徨う石巨人 彷徨的石巨人,d,創造,3,无性别,1,物理,3,17e5f
3aa,彷徨う骸骨 彷徨的骸骨,c,不死,3,无性别,7,暗黑,2,17e60
3ab,彷徨う死体 彷徨的尸体,c,不死,2,女,7,暗黑,3,17e61
3ac,彷徨う蝙蝠 彷徨的蝙蝠,3,一般,3,无性别,5,电击,1,17e62
3ad,流神殿騎士団長 流神殿骑士团长,1,人族,1,男,1,物理,4,17e63
3ae,流神殿騎士 流神殿骑士,1,人族,1,男,1,物理,3,17e64
3af,流神殿弓騎士 流神殿弓骑士,1,人族,2,女,1,物理,3,17e65
3b0,流神殿術師 流神殿术师,1,人族,1,男,1,物理,3,17e66
3b1,巨鉄亀の騎士 巨铁龟骑士,1,人族,1,男,1,物理,4,17e67
3b2,鉄騎兵 铁骑兵,1,人族,1,男,1,物理,3,17e68
3b3,鉄騎弓兵 铁骑弓兵,1,人族,1,男,1,物理,3,17e69
3b4,鉄騎術師 铁骑术师,1,人族,1,男,1,物理,3,17e6a
3b5,滅殺の雷竜 灭杀雷龙,a,幻獣,3,无性别,5,电击,4,17e6b
3b6,破術の飛蛇 破术飞蛇,3,一般,3,无性别,1,物理,3,17e6c
3b7,神速の飛蛇 神速飞蛇,3,一般,3,无性别,1,物理,3,17e6d
3b8,特攻の飛蛇 特攻飞蛇,3,一般,3,无性别,1,物理,3,17e6e
3b9,睡魔リリス 睡魔莉莉丝,8,悪魔,2,女,7,暗黑,4,17e6f
3ba,睡魔リリエール 睡魔莉莉艾尔,8,悪魔,2,女,7,暗黑,3,17e70
3bb,睡魔スゥーティ 睡魔斯乌提,8,悪魔,2,女,7,暗黑,2,17e71
3bc,エリートオーク 精英半兽人,4,鬼,1,男,1,物理,4,17e72
3bd,ゴブルシャーマン 哥布尔萨满,4,鬼,1,男,1,物理,3,17e73
3be,ゴブル 哥布尔,4,鬼,1,男,1,物理,2,17e74
3bf,マグナワーム 马格纳蠕虫,3,一般,3,无性别,1,物理,4,17e75
3c0,アイアンワーム 钢铁蠕虫,3,一般,3,无性别,1,物理,3,17e76
3c1,ワーム 蠕虫,3,一般,3,无性别,4,火炎,2,17e77
3c2,グロウサーペント 格罗巨蛇,3,一般,3,无性别,3,冷却,4,17e78
3c3,メタルサーペント 金属巨蛇,3,一般,3,无性别,3,冷却,3,17e79
3c4,サーペント 巨蛇,3,一般,3,无性别,3,冷却,2,17e7a
3c5,リザードモール 蜥蜴鼹鼠,2,亜人,1,男,3,冷却,2,17e7b
3cb,バグクイーン 虫之女王,d,創造,2,女,1,物理,4,17e81
3cc,十五漂流の雷精 十五漂流的雷精,d,創造,3,无性别,5,电击,3,17e82
3cd,アイドゥの石霊 艾杜的石灵,d,創造,3,无性别,7,暗黑,3,17e83
3ce,オゥータの石霊 奥塔的石灵,d,創造,3,无性别,7,暗黑,3,17e84
3cf,ウィッチダの石霊 维彻达的石灵,d,創造,3,无性别,7,暗黑,3,17e85
3d0,オサウワの石霊 奥萨瓦的石灵,d,創造,3,无性别,7,暗黑,3,17e86
3d1,編霊デュエスク 编灵杜埃斯克,d,創造,3,无性别,3,冷却,2,17e87
3d2,編霊チェイアー 编灵切亚,d,創造,3,无性别,2,地脉,2,17e88
3d3,編霊ピシ 编灵皮希,d,創造,3,无性别,4,火炎,2,17e89
3d4,編霊タブレト 编灵塔布莱特,d,創造,3,无性别,5,电击,2,17e8a
3d5,フィア＝イブラム 菲亚-伊布拉姆,6,精霊,2,女,7,暗黑,4,17e8b
3d6,黒歪魔 黑歪魔,8,悪魔,1,男,3,冷却,3,17e8c
3d7,黒刃這竜 黑刃爬龙,a,幻獣,3,无性别,2,地脉,3,17e8d
3d8,黒上級悪魔 黑上级恶魔,8,悪魔,1,男,7,暗黑,3,17e8e
3d9,絶天縁フィア 绝天缘菲亚,c,不死,2,女,7,暗黑,5,17e8f
3da,堕ちた蒼の結騎 堕落的苍之结骑,c,不死,1,男,3,冷却,4,17e90
3db,堕ちた炎の結騎 堕落的炎之结骑,c,不死,1,男,4,火炎,4,17e91
3dc,堕ちた旋の結騎 堕落的旋之结骑,c,不死,2,女,5,电击,4,17e92
3dd,堕ちた脈の結騎 堕落的脉之结骑,c,不死,1,男,2,地脉,4,17e93
3de,リード＝ズィルヴァ 里德＝兹尔瓦,d,創造,3,无性别,6,神圣,5,17e94
3df,大天使ラヴナス 大天使拉乌纳斯,7,天使,2,女,6,神圣,4,17e95
3e0,アークエンジェル 大天使,7,天使,2,女,6,神圣,3,17e96
3e1,メルカヴァイル 梅尔卡维鲁,d,創造,3,无性别,1,物理,4,17e97
3e2,ガンヘリオン 甘赫利翁,d,創造,3,无性别,1,物理,3,17e98
3e3,グロウリリジー 格罗莉莉兹,9,魔獣,3,无性别,2,地脉,4,17e99
3e4,腕力強化の木精 腕力强化的木精,6,精霊,3,无性别,2,地脉,3,17e9a
3e5,敏捷変異の木精 敏捷变异的木精,6,精霊,2,女,2,地脉,3,17e9b
3e6,魔術変異の木精 魔术变异的木精,6,精霊,2,女,2,地脉,3,17e9c
