说话人名称:说话人ID:日文原文（出现多次）,章节_1,当前翻译_1,章节_2,当前翻译_2,章节_3,当前翻译_3,章节_4,当前翻译_4,章节_5,当前翻译_5,章节_6,当前翻译_6,章节_7,当前翻译_7,章节_8,当前翻译_8,章节_9,当前翻译_9,章节_10,当前翻译_10,章节_11,当前翻译_11,章节_12,当前翻译_12,章节_13,当前翻译_13,章节_14,当前翻译_14,章节_15,当前翻译_15,章节_16,当前翻译_16,章节_17,当前翻译_17,章节_18,当前翻译_18,章节_19,当前翻译_19,章节_20,当前翻译_20,章节_21,当前翻译_21,章节_22,当前翻译_22,章节_23,当前翻译_23,章节_24,当前翻译_24,章节_25,当前翻译_25,章节_26,当前翻译_26,章节_27,当前翻译_27,章节_28,当前翻译_28,章节_29,当前翻译_29,章节_30,当前翻译_30,章节_31,当前翻译_31,章节_32,当前翻译_32,章节_33,当前翻译_33,章节_34,当前翻译_34,章节_35,当前翻译_35,章节_36,当前翻译_36,章节_37,当前翻译_37,章节_38,当前翻译_38,章节_39,当前翻译_39,章节_40,当前翻译_40,章节_41,当前翻译_41,章节_42,当前翻译_42,章节_43,当前翻译_43,章节_44,当前翻译_44,章节_45,当前翻译_45,章节_46,当前翻译_46,章节_47,当前翻译_47,章节_48,当前翻译_48,章节_49,当前翻译_49,章节_50,当前翻译_50,章节_51,当前翻译_51,章节_52,当前翻译_52,章节_53,当前翻译_53,章节_54,当前翻译_54,章节_55,当前翻译_55,章节_56,当前翻译_56,章节_57,当前翻译_57,章节_58,当前翻译_58,章节_59,当前翻译_59,章节_60,当前翻译_60,章节_61,当前翻译_61,章节_62,当前翻译_62,章节_63,当前翻译_63,章节_64,当前翻译_64,章节_65,当前翻译_65,章节_66,当前翻译_66,章节_67,当前翻译_67,章节_68,当前翻译_68,章节_69,当前翻译_69,章节_70,当前翻译_70,章节_71,当前翻译_71,章节_72,当前翻译_72,章节_73,当前翻译_73,章节_74,当前翻译_74,章节_75,当前翻译_75,章节_76,当前翻译_76,章节_77,当前翻译_77,章节_78,当前翻译_78,章节_79,当前翻译_79,章节_80,当前翻译_80
none:none:俺は帰り支度を始めた。,SC0650,我开始收拾东西准备回去……。,SC0650,我开始收拾东西准备回去……。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:灰白色の絶景に視線を流すだけで心が満たされ、温泉のおかげで身体の疲労がすっかり取れていく。,SC0160,目光只要掠过这片灰白色的绝景，内心便被填满；托温泉的福，一身的疲惫也渐渐消散。,SC0160,目光只要掠过这片灰白色的绝景，内心便被填满；托温泉的福，一身的疲惫也渐渐消散。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:確かにカルメルグは動揺し、戦局を有利にすることができたが。,SC0190,卡尔梅尔格确实因此动摇，让我们占据了有利局面，但是……。,SC0190,卡尔梅尔格确实因此动摇，让我们占据了有利局面，但是……。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:確かに深手を負わせたはずなのに。いったいどこへ消えたんだろう。,SC0190,明明确实让他受了重伤。他究竟消失到哪里去了呢。,SC0190,明明确实让他受了重伤。他究竟消失到哪里去了呢。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:空気を読んで、俺に交渉を任せてくれていたフィアが、こちらを<ruby>伺<rt>うかが</rt></ruby>うように視線を向ける。,SC0160,善解人意地把谈判交给我来办的菲亚，朝这边投来试探般的目光。,SC0160,善解人意地把谈判交给我来办的菲亚，朝这边投来试探般的目光。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:鯨顎岬の迷宮に訪問イベントが発生するようになりました。,$5$SG2361,鲸颚岬迷宫<br>开始发生访问事件。,$5$SG2362,鲸颚岬迷宫<br>开始发生访问事件。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:結局、竜族から城砦の情報を聞き出すことはできなかった。,SC0190,到头来，还是没能从龙族那里问出城砦的情报。,SC0190,到头来，还是没能从龙族那里问出城砦的情报。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:最後まで気味の悪いことを口にしながら、ガイダルはカトリトを連れて竜族の元へ歩いて行った。,SC0190,盖达鲁直到最后都说着让人毛骨悚然的话，带着卡特利特走向龙族那边。,SC0190,盖达鲁直到最后都说着让人毛骨悚然的话，带着卡特利特走向龙族那边。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:少しそわそわしたロズリーヌから声を掛けられた。,SC1650,坐立不安的罗兹利奴向我搭话。,SC1650,坐立不安的罗兹利奴向我搭话。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:少し離れた場所でたくさんの声が聞こえた。,SC0190,稍远的地方传来了许多声音。,SC0190,稍远的地方传来了许多声音。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:城砦で強襲をかけた<ruby>爪痕<rt>つめあと</rt></ruby>は、住処のあちこちに残っている。俺たちへの憎しみは、そう簡単に消えたりしないだろう。,SC0190,城砦突袭留下的伤痕，遍布他们住处的各个角落。他们对我们的憎恨，不会那么容易消散吧。,SC0190,城砦突袭留下的伤痕，遍布他们住处的各个角落。他们对我们的憎恨，不会那么容易消散吧。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:城砦という<ruby>禁忌<rt>きんき</rt></ruby>からフィアを切り離す方法があると、信じて。,SC0190,相信一定存在将菲亚从城砦这一禁忌中解放出来的方法。,SC0190,相信一定存在将菲亚从城砦这一禁忌中解放出来的方法。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:色々と疲れる戦いと交渉だったな。,SC0160,真是一场身心俱疲的战斗与谈判啊……。,SC0160,真是一场身心俱疲的战斗与谈判啊……。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:深く息を吸い込み、ゆっくりと吐き出す。,SC0160,深深吸一口气，再缓缓吐出。,SC0160,深深吸一口气，再缓缓吐出。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:戦闘にも参加してくれるみたいだし、仲間になったと言って、いいのだろうか？,SC0160,她似乎也会参与战斗，说她是伙伴，应该没问题吧？,SC0160,她似乎也会参与战斗，说她是伙伴，应该没问题吧？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:戦闘に決着が付き、ミクシュアナとの話は再開された。,SC0160,战斗分出胜负后，与米克修亚娜的谈话重新开始。,SC0160,战斗分出胜负后，与米克修亚娜的谈话重新开始。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:全ての事情がそこへと繋がっている。そんな気がして、ならないんだ。,SC0160,所有内情都指向那里。这种感觉，挥之不去。,SC0160,所有内情都指向那里。这种感觉，挥之不去。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:騒ぎの中心からガイダルが歩いてくる。,SC0190,盖达鲁从喧闹的中心走了过来。,SC0190,盖达鲁从喧闹的中心走了过来。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:待ってろよ、夢心地になれる丁度いい温泉を見つけてみせるぜ。,SC0650,等着吧，我非要找到一处能让人如坠梦境的恰到好处的温泉给你看。,SC0650,等着吧，我非要找到一处能让人如坠梦境的恰到好处的温泉给你看。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:大きく広げられた脚の中心部に、ガチガチに固くなった肉棒を刺し込んだ。,SP0131,我把硬邦邦的肉棒刺入她大大张开的双腿之间。,SP0743,我把硬邦邦的肉棒刺入她大大张开的双腿之间。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:調査により解決方法が“破壊しかない”と知っていながらも、<ruby>禁忌<rt>きんき</rt></ruby>の状態から解放される可能性を消さず、そうなった場合の対処すらも考慮している。,SC0160,虽然通过调查得知解决方法‘唯有破坏’，但她并未抹杀解除禁忌状态的可能性，甚至连那种情况下的应对都已纳入考量。,SC0160,虽然通过调查得知解决方法‘唯有破坏’，但她并未抹杀解除禁忌状态的可能性，甚至连那种情况下的应对都已纳入考量。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:父親の仇、ということは。,SC0190,为父亲报仇，也就是说……。,SC0190,为父亲报仇，也就是说……。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:平和で楽しくも騒がしい一時はこうして過ぎていった。,SP0162,「和平、愉快又喧闹的一段时光，就这样过去了……」,SP0163,「和平、愉快又喧闹的一段时光，就这样过去了……」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:歩み寄れる妥協点などないと、言っているんだな。,SC0160,她是说，根本不存在可以彼此让步的妥协点啊。,SC0160,她是说，根本不存在可以彼此让步的妥协点啊。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:迷宮の扉は頑丈な造りをしており、ご丁寧に入場料を取る為の箱が用意されている。,$3$SC0840,迷宫的门造得十分结实，还煞有介事地备好了收取入场费的箱子。,$3$SC0840,迷宫的门造得十分结实，还煞有介事地备好了收取入场费的箱子。,$3$SC0840,迷宫的门造得十分结实，还煞有介事地备好了收取入场费的箱子。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:滅ぼしたと思っていた<ruby>雷府<rt>らいふ</rt></ruby>の血族が戦場に現れ、勇ましく戦い始めた。,SC0190,本以为已被灭族的雷府血脉出现在战场上，英勇地投入了战斗。,SC0190,本以为已被灭族的雷府血脉出现在战场上，英勇地投入了战斗。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:竜族との戦いに決着が付き、城砦の位置を移動させられる算段が付いた。,SC0190,与龙族的战斗已分出胜负，也做好了移动城砦位置的准备。,SC0190,与龙族的战斗已分出胜负，也做好了移动城砦位置的准备。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:竜族はカトリトの来訪を歓迎し、自分たちの王を受け入れていた。,SC0190,龙族们欢迎卡特利特的到来，接纳了她作为自己的王。,SC0190,龙族们欢迎卡特利特的到来，接纳了她作为自己的王。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none:none:老婆は依頼したときと同じように深々と頭を下げ、帰って行った。,SC1590,老婆婆像来委托时一样深深低头行礼，回去了。,SC1590,老婆婆像来委托时一样深深低头行礼，回去了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「ああ、俺たちはこれから『<ruby>神響<rt>しんきょう</rt></ruby>の<ruby>霞廊<rt>さんろ</rt></ruby>』に向かう為に、この先にあるエルフ族がいるっていう森林地帯に向かう」,SC0190,「嗯，为了前往『神响霞廊』，我们接下来要去前方那片有仙灵族栖息的森林地带」,SC0190,「嗯，为了前往『神响霞廊』，我们接下来要去前方那片有仙灵族栖息的森林地带」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「あぁぁぁああああーーー！」,SC6660,「啊啊啊啊啊啊啊——！」,SC6660,「啊啊啊啊啊啊啊——！」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「ああーいい湯だなー」,SC0160,「啊啊—……真舒服啊—……」,SC0160,「啊啊—……真舒服啊—……」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「いいなぁ。来て良かったなぁ」,SC0160,「真好呀。来对了……真来对了」,SC0160,「真好呀。来对了……真来对了」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「いま俺たちはある目的地に向かって行動している。そこに意味がないとは、俺にはどうしても思えない」,SC0160,「我们现在正朝着某个目的地前进。要说那里毫无意义，我怎么也无法相信」,SC0160,「我们现在正朝着某个目的地前进。要说那里毫无意义，我怎么也无法相信」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「え」,SC0560,「诶」,SC2620,「诶」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「おいおい」,SC0500,「喂喂……」,SC2060,「喂喂……」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「おまえにも　かぞくがいるだろう」,SC6910,「你也有家人吧……」,SC6920,「你也有家人吧……」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「お前は竜族じゃない。ここの代表者という立場でもない」,SC0190,「你不是龙族。也不是这里的代表者」,SC0190,「你不是龙族。也不是这里的代表者」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「カトリト、ここを通ってもいいかな？」,SC0190,「卡特利特，让我们从这里……通过，可以吗？」,SC0190,「卡特利特，让我们从这里……通过，可以吗？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「カトリト？」,SC1620,「卡特利特？」,SC1620,「卡特利特？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「カルメルグが、死んだ。それは間違いないんだな？」,SC0190,「卡尔梅尔格，死了……。这件事不会有错吧？」,SC0190,「卡尔梅尔格，死了……。这件事不会有错吧？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「くっ、住民の被害が多すぎる。これ以上ここで作業するのは無理だ」,SC5980,「可恶，居民伤亡太严重了。没法再在这里继续作业了」,SC5980,「可恶，居民伤亡太严重了。没法再在这里继续作业了」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「ゲームオーバーか」,SC6910,「游戏结束了啊……」,SC6920,「游戏结束了啊……」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「ここと」,SC4070,「这里」,SC4070,「这里」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「この後の挙動は環境設定次第だな」,SC6910,「之后的行为就看环境设定了啊」,SC6920,「之后的行为就看环境设定了啊」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「こればかりは、今の状況だけじゃ推測できないんだ。マーズテリアの内情を知っている人じゃないと交渉材料すら見つけられない」,SC0160,「这一点光凭现在的情况无法推断。若非了解马兹忒利亚内情的人，恐怕连谈判的筹码都找不到」,SC0160,「这一点光凭现在的情况无法推断。若非了解马兹忒利亚内情的人，恐怕连谈判的筹码都找不到」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「さて、こっちも城砦に住んでいる人たちに説明が必要だよなぁ」,SC0160,「好了，我们这边也得向住在城砦里的人说明情况啊……」,SC0160,「好了，我们这边也得向住在城砦里的人说明情况啊……」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「すまない。安易に許可するべきではなかったっ」,SC5980,「抱歉。我不该那么轻易就批准下来的……」,SC5980,「抱歉。我不该那么轻易就批准下来的……」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「セーブは禁止だな」,SC6910,「保存是被禁止的啊」,SC6920,「保存是被禁止的啊」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「せっかく来たんだから、入ってみよう。珍しい物があるかもしれないし」,$3$SC0840,「既然特意来了，就进去看看吧。说不定会有稀罕东西呢」,$3$SC0840,「既然特意来了，就进去看看吧。说不定会有稀罕东西呢」,$3$SC0840,「既然特意来了，就进去看看吧。说不定会有稀罕东西呢」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
