说话人名称:说话人ID:日文原文（出现多次）,章节_1,当前翻译_1,章节_2,当前翻译_2,章节_3,当前翻译_3,章节_4,当前翻译_4,章节_5,当前翻译_5,章节_6,当前翻译_6,章节_7,当前翻译_7,章节_8,当前翻译_8,章节_9,当前翻译_9,章节_10,当前翻译_10,章节_11,当前翻译_11,章节_12,当前翻译_12,章节_13,当前翻译_13,章节_14,当前翻译_14,章节_15,当前翻译_15,章节_16,当前翻译_16,章节_17,当前翻译_17,章节_18,当前翻译_18,章节_19,当前翻译_19,章节_20,当前翻译_20,章节_21,当前翻译_21,章节_22,当前翻译_22,章节_23,当前翻译_23,章节_24,当前翻译_24,章节_25,当前翻译_25,章节_26,当前翻译_26,章节_27,当前翻译_27,章节_28,当前翻译_28,章节_29,当前翻译_29,章节_30,当前翻译_30,章节_31,当前翻译_31,章节_32,当前翻译_32,章节_33,当前翻译_33,章节_34,当前翻译_34,章节_35,当前翻译_35,章节_36,当前翻译_36,章节_37,当前翻译_37,章节_38,当前翻译_38,章节_39,当前翻译_39,章节_40,当前翻译_40,章节_41,当前翻译_41,章节_42,当前翻译_42,章节_43,当前翻译_43,章节_44,当前翻译_44,章节_45,当前翻译_45,章节_46,当前翻译_46,章节_47,当前翻译_47,章节_48,当前翻译_48,章节_49,当前翻译_49,章节_50,当前翻译_50,章节_51,当前翻译_51,章节_52,当前翻译_52,章节_53,当前翻译_53,章节_54,当前翻译_54,章节_55,当前翻译_55,章节_56,当前翻译_56,章节_57,当前翻译_57,章节_58,当前翻译_58,章节_59,当前翻译_59,章节_60,当前翻译_60,章节_61,当前翻译_61,章节_62,当前翻译_62,章节_63,当前翻译_63,章节_64,当前翻译_64,章节_65,当前翻译_65,章节_66,当前翻译_66,章节_67,当前翻译_67,章节_68,当前翻译_68,章节_69,当前翻译_69,章节_70,当前翻译_70,章节_71,当前翻译_71,章节_72,当前翻译_72,章节_73,当前翻译_73,章节_74,当前翻译_74,章节_75,当前翻译_75,章节_76,当前翻译_76,章节_77,当前翻译_77,章节_78,当前翻译_78,章节_79,当前翻译_79,章节_80,当前翻译_80
アヴァロ:1:「え？」,SC0280,「……咦？」,SC1590,「…………诶？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そうか」,SC2180,「…………是吗」,SC2620,「…………这样啊」,SC2710,「…………原来如此」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「そっか」,SC0620,「…………是吗」,SC1590,「…………是吗」,SP2091,「…………这样啊」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アヴァロ:1:「っ」,$3$SP2341,唔……！,$4$SC3370,「……！」,SC0280,「…………！」,SC0280,「…………！」,SC0740,「…………！」,SC2710,「…………！」,SC2710,「…………！」,SC2770,「……！」,SC6720,「…………！」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
イオル:3:「イオも、イオもくっつく」,$3$SC2340,「伊欧也要，伊欧也要贴上去」,SC2090,「伊欧也，伊欧也要贴贴」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
イオル:3:「ミケユにあげる」,SC2060,「给米凯优」,SC2060,「让给米凯优」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
イオル:3:「世の中は分かりやすい。強い奴が生きて、弱い奴が死ぬ」,$3$SC2340,「这世界很简单。强者生，弱者死」,SC2090,「这世界很简单。强者活，弱者死」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
イオル:3:「」,SC0500,「……」,SC5740,「…………」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
イオル:3:「そう」,SC0100,「……是吗」,SC0590,「这样啊」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ガイダル:aa:「おそらく移動可能な城砦に関してなにかしら動きを見せるだろう」,SC5860,「恐怕他们会针对可移动城砦，做出什么动作吧」,SC6660,「恐怕他们会针对可移动城砦采取某种行动吧。」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ガイダル:aa:「そうそう、一つ忠告だ。この先にはマーズテリアの<ruby>屯所<rt>とんしょ</rt></ruby>や、霊峰に<ruby>棲<rt>す</rt></ruby>まう竜族などの難所がある」,SC5860,「对了对了，给你们一个忠告。前方有马兹忒利亚的驻屯地，还有栖身于灵峰的龙族等难关」,SC6660,「对了对了，给你们一句忠告。前方有马兹忒利亚的驻所，还有栖居在灵峰上的龙族等险地。」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ガイダル:aa:「なにかな？」,SC0190,「还有什么事吗？」,SC0190,「还有什么事吗？」,SC2710,「是什么呢？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ガイダル:aa:「なんだろうか？」,SC0190,「怎么了？」,SC0190,「怎么了？」,SC2210,「是什么呢？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ガイダル:aa:「現代に<ruby>蘇<rt>よみがえ</rt></ruby>った世界に抗う為の力だよ。既に動き出してしまった。もう誰にも事態は止められない」,SC5860,「这是在现代复苏的、用以对抗世界的力量哦。它已经启动了。这场事态，已经没有任何人能够阻止了」,SC6660,「是在现代复苏的、用以对抗世界的力量哦。事态已经启动了，谁也无法再阻止。」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カトリト:a:「」,SC0070,「……」,SC0100,「……」,SC1620,「……」,SC1620,「……」,SC2130,「——」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カトリト:a:「はい」,SC0190,「……是」,SC1590,「……好」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カトリト:a:「」,SC0190,「……」,SC0190,「……」,SC0190,「……」,SC0190,「……」,SC0190,「……」,SC1680,「…………」,SC2190,「…………」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カトリト:a:「っ」,SC0190,「……」,SC2710,「…………！」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
キスニル:5:「む、無念だ。私の道は、ここで途切れるのか！　信念を突き通すことのできない騎士など、なんの意味がある」,$4$SC6870,「呜，好不甘心。我的道路，就要在此终结了吗……！无法贯彻信念的骑士，还有什么意义可言……」,SC6300,「唔，好不甘心。我的道路，就要在这里断绝了吗……！无法贯彻信念的骑士，还有什么意义可言……」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
キスニル:5:「」,SC0010,「…………」,SC0040,「…………」,SC0560,「——」,SC1660,「……」,SC2650,「…………」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ディートヘルム:6:「アヴァロ、少し相談があるんだがな」,$2$SC2330,「阿瓦罗，有件事想跟你商量商量啊」,SC2130,「阿瓦罗，我有点事想和你商量」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ディートヘルム:6:「おう、アヴァロ。ずいぶんと驚いている顔しているじゃねぇか」,SC0280,「哦，阿瓦罗。你这张脸可惊得不轻啊」,SC0770,「哦，阿瓦罗。你这脸上可写满了吃惊啊」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ディートヘルム:6:「ガイダルの奴が紛れ込んで、インフルース王国との戦闘が本格化した時には、どこかで乗っ取られる可能性も考慮していた」,SC0280,「盖达鲁那家伙混进来，与因夫鲁斯王国的战斗全面化之后，我就考虑过城砦迟早会被夺走的可能」,SC0770,「在盖达鲁那家伙混进来、与因夫鲁斯王国的战斗正式打响时，我就已经考虑到城砦会在哪里被夺走的可能性了」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ディートヘルム:6:「かつての古巣だ。勝手は分かるだろう。好きに使いな」,SC0280,「这是你以前的老地方。规矩你都熟吧。随便用」,SC0770,「这是你以前的窝。怎么顺手你心里有数吧。随便用吧」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ディートヘルム:6:「そこまでは知らん」,$2$SC2330,「那可就不知道了」,SC2120,「那我就不知道了」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ディートヘルム:6:「てめぇの女を奪い返すんだ。準備を抜かるんじゃねぇぞ」,SC0280,「去把你的女人夺回来。准备可别马虎」,SC0770,「要夺回你的女人，可别在准备上掉以轻心啊」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ディートヘルム:6:「まぁ俺様も普段の仕事があるから、さすがに全員避難させるってのは無理だったがな」,SC0280,「嘛，本大爷平时也有工作要忙，实在没法让所有人都去避难就是了」,SC0770,「不过本大爷平时也有工作，要把所有人都疏散出来，果然还是办不到就是了」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ディートヘルム:6:「よーし、俺様もいっちょ派手にやってやるか」,SC1620,「好嘞，本大爷也来大干一场吧」,SC4300,好嘞，本大爷也来大干一场吧！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ディートヘルム:6:「工房での作業が必要ならここを使うといい」,SC0280,「如果需要工房作业，就用这里吧」,SC0770,「需要工房作业的话，用这里就好」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ディートヘルム:6:「本格的にガイダルに乗っ取られる前に、俺様の部下を避難させていてな」,SC0280,「在被盖达鲁彻底夺走之前，本大爷就让部下们避难了」,SC0770,「在城砦被盖达鲁那家伙彻底夺取之前，本大爷先把部下们疏散出来了」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ディートヘルム:6:「組織の運営ってのはな、最悪の場合を想定して動かすのも必要なんだ」,SC0280,「……经营组织嘛，按最坏情况来部署行动也是必要的」,SC0770,「……经营组织这回事啊，按最坏的情况来设想并行动，也是有必要的」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パライア:15e:「オオオオオオオオオオオオオオオオオォォォォッ」,SC0280,「噢噢噢噢噢噢噢噢噢噢噢噢噢噢噢噢——！」,SC0280,「噢噢噢噢噢噢噢噢噢噢噢噢噢噢噢噢——！」,SC0280,「噢噢噢噢噢噢噢噢噢噢噢噢噢噢噢噢——！」,SC0770,「噢噢噢噢噢噢噢噢噢噢噢噢噢噢噢噢——！」,SC6790,「噢噢噢噢噢噢噢噢噢噢噢噢噢噢噢——！」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「うん、わかった！」,SC3000,「嗯，明白了！」,SC4220,「嗯，明白了！」,SC5710,「嗯，知道了！」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「え、なになに？　私を呼んだ？」,SC2150,「诶，什么什么？在叫我吗？」,SC4040,「诶，怎么了怎么了？你叫我吗？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「えいやっ」,SC0530,「嘿呀！」,SC2000,「嘿呀」,SC2000,「嘿呀」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「えへへ、ごめん」,SC0280,「诶嘿嘿，对不起」,SC1560,「诶嘿嘿，抱歉」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「え？」,SC0010,「咦……？」,SC2710,「诶……？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「できるよ」,SC0000,「做得到哦」,SC2000,「做得到的」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「ねぇねぇ、なにやってるの？」,SC2060,「呐呐，在做什么呀？」,SC2120,「呐呐，你们在做什么呀？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「やったよ、正気に戻ったみたい！」,SC5710,「成功了，它好像恢复正常了！」,SC5770,「成功了，她好像恢复神智了！」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「嬉しいことも、苦しいことだって、みんなと一緒ならきっと楽しいよ！」,$5$SC2360,「无论是开心的事，还是难过的事，只要和大家在一起，一定都会很快乐的哦！」,SC2770,「高兴的事也好，辛苦的事也罢，和大家在一起的话，一定都会很快乐哦！」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「嬉しいことも、苦しいことだって一緒に楽しんでいこ！　これからよろしくねっ」,SC0000,「开心的事也好，辛苦的事也罢，都要一起尽情享受哦！今后请多关照啦！」,SC0280,「无论是开心的事，还是辛苦的事，都要一起享受哦！今后请多关照啦！」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「神様の私が言うんだから間違いなし、だよ！」,SC2130,「身为神明的我都这么说了，肯定没错啦！」,SC4130,「身为神的我说的话，肯定不会有错啦！」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「本当に行っちゃったね。これで村に元気が戻るのかな？」,SC5860,「他真的走了呢。这样一来，村子能恢复活力了吗？」,SC6660,「他真的走了呢。这样一来，村子能恢复生气吗？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「うん」,SC0650,「……嗯」,SC2210,「……嗯」,SC2560,「——嗯」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「」,SC0190,「……」,SC0220,「…………」,SC0280,「…………」,SC0280,「…………」,SC0280,「…………」,SC0280,「…………」,SC0280,「…………」,SC0280,「…………」,SC0710,…………,SC0740,「…………」,SC0740,「…………」,SC0770,「……」,SC0770,「……」,SC1680,「…………」,SC2150,「…………」,SC2210,「…………」,SC2210,「…………」,SC2680,「…………」,SC2710,「…………」,SC2710,「…………」,SC2710,「…………」,SC2710,「…………」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「うん、アヴァロに任せた！」,SC2500,「……嗯，交给阿瓦罗了！」,SC4040,「嗯，就交给你了，阿瓦罗！」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「うん」,SC0220,「…………嗯」,SC0280,「…………嗯」,SC0650,「…………嗯」,SC1680,「…………嗯」,SC2560,「——嗯」,SC2710,「…………嗯」,SC2710,「…………嗯」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「っ」,SC0680,「…………唔」,SC1620,「…………！」,SC2210,「…………！」,SC2710,「…………！」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
フィア:2:「え」,SC0650,「………………咦」,SC2710,「………………诶」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
べリアル:17:「どうだ、よい提案だろう？」,$2$SC2330,「怎么样，是个好提议吧？」,SC2800,「如何，这是不错的提议吧？」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ミクシュアナ:9:「嫌な予感しかしませんね」,$3$SC4360,「只有一股不祥的预感呢」,SC0310,「实在令人有不祥的预感呢」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ミクシュアナ:9:「」,$5$SC0370,「……」,$5$SC0860,「…………」,SC0070,「…………」,SC0160,「…………」,SC0160,「…………」,SC0680,「…………」,SC2180,「…………」,SC2180,「…………」,SC2180,「…………」,SC2180,「…………」,SC2180,「…………」,SC2180,「…………」,SC2180,「…………」,SC2710,「…………」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
